power_on,boot_time_ms
1,552
2,553
3,553
4,552
5,553
6,553
7,553
8,553
9,553
10,553
11,553
12,553
13,552
14,552
15,553
16,553
17,553
18,553
19,553
20,553
21,553
22,553
23,553
24,553
25,552
26,553
27,553
28,553
29,553
30,552
31,553
32,553
33,553
34,553
35,553
36,552
37,553
38,553
39,553
40,553
41,553
42,553
43,553
44,553
45,553
46,553
47,553
48,553
49,553
50,553
51,553
52,553
53,553
54,553
55,553
56,552
57,553
58,553
59,553
60,553
61,552
62,553
63,553
64,552
65,552
66,553
67,553
68,553
69,552
70,552
71,553
72,553
73,553
74,553
75,553
76,552
77,552
78,553
79,553
80,553
81,552
82,553
83,552
84,553
85,553
86,553
87,553
88,553
89,553
90,553
91,552
92,553
93,553
94,553
95,553
96,553
97,553
98,553
99,553
100,553
101,553
102,552
103,552
104,552
105,553
106,553
107,553
108,553
109,552
110,553
111,553
112,552
113,552
114,553
115,553
116,553
117,553
118,553
119,553
120,553
121,553
122,553
123,553
124,553
125,553
126,553
127,553
128,552
129,553
130,553
131,553
132,552
133,553
134,553
135,553
136,553
137,553
138,553
139,553
140,553
141,553
142,553
143,552
144,553
145,553
146,553
147,552
148,553
149,553
150,553
151,553
152,553
153,553
154,553
155,553
156,553
157,553
158,553
159,553
160,552
161,553
162,553
163,553
164,552
165,552
166,553
167,553
168,553
169,552
170,553
171,553
172,553
173,553
174,553
175,553
176,553
177,552
178,553
179,552
180,553
181,553
182,553
183,553
184,552
185,552
186,553
187,553
188,553
189,553
190,552
191,553
192,553
193,553
194,552
195,553
196,553
197,553
198,552
199,553
200,553
201,553
202,553
203,553
204,553
205,553
206,553
207,553
208,552
209,553
210,553
211,553
212,553
213,552
214,552
215,553
216,553
217,552
218,553
219,553
220,553
221,553
222,553
223,553
224,553
225,553
226,553
227,553
228,553
229,553
230,553
231,553
232,553
233,552
234,553
235,553
236,553
237,552
238,553
239,553
240,553
241,552
242,553
243,553
244,553
245,553
246,553
247,553
248,552
249,553
250,553
251,553
252,553
253,553
254,553
255,553
256,553
257,552
258,552
259,553
260,553
261,552
262,553
263,552
264,552
265,553
266,553
267,552
268,553
269,553
270,553
271,553
272,553
273,552
274,553
275,553
276,553
277,553
278,553
279,553
280,553
281,553
282,553
283,553
284,553
285,553
286,553
287,553
288,552
289,553
290,553
291,553
292,552
293,553
294,553
295,553
296,553
297,553
298,553
299,553
300,552
301,553
302,553
303,553
304,553
305,553
306,553
307,553
308,552
309,552
310,552
311,553
312,552
313,553
314,553
315,553
316,553
317,553
318,553
319,552
320,553
321,552
322,553
323,552
324,553
325,553
326,552
327,553
328,552
329,553
330,553
331,553
332,553
333,553
334,552
335,553
336,553
337,553
338,553
339,553
340,553
341,552
342,553
343,553
344,553
345,553
346,553
347,553
348,553
349,552
350,553
351,552
352,553
353,553
354,553
355,553
356,553
357,552
358,553
359,553
360,553
361,552
362,552
363,553
364,553
365,553
366,552
367,553
368,553
369,553
370,553
371,553
372,553
373,553
374,553
375,553
376,553
377,553
378,553
379,553
380,552
381,553
382,553
383,553
384,553
385,553
386,553
387,553
388,553
389,553
390,552
391,553
392,553
393,553
394,553
395,553
396,553
397,553
398,552
399,553
400,553
401,552
402,553
403,552
404,553
405,553
406,553
407,553
408,552
409,553
410,552
411,553
412,552
413,552
414,553
415,553
416,553
417,553
418,553
419,553
420,553
421,552
422,553
423,553
424,553
425,553
426,553
427,553
428,553
429,553
430,552
431,552
432,553
433,553
434,553
435,553
436,552
437,553
438,553
439,553
440,553
441,553
442,553
443,553
444,553
445,553
446,553
447,553
448,553
449,552
450,553
451,552
452,553
453,553
454,553
455,553
456,553
457,553
458,553
459,553
460,553
461,553
462,552
463,553
464,553
465,553
466,553
467,553
468,553
469,552
470,553
471,553
472,553
473,553
474,553
475,553
476,552
477,553
478,553
479,553
480,552
481,553
482,552
483,553
484,553
485,553
486,552
487,553
488,553
489,553
490,553
491,553
492,553
493,553
494,552
495,552
496,553
497,553
498,553
499,553
500,553
501,553
502,553
503,553
504,552
505,553
506,553
507,553
508,553
509,553
510,553
511,553
512,552
513,553
514,553
515,553
516,553
517,553
518,553
519,552
520,553
521,552
522,552
523,553
524,553
525,553
526,553
527,553
528,553
529,552
530,553
531,552
532,553
533,553
534,553
535,553
536,552
537,553
538,552
539,552
540,553
541,553
542,553
543,553
544,553
545,553
546,552
