power_on,boot_time_ms
1,551
2,551
3,551
4,552
5,551
6,552
7,552
8,551
9,551
10,552
11,552
12,550
13,551
14,551
15,552
16,552
17,552
18,551
19,552
20,551
21,552
22,550
23,552
24,552
25,552
26,552
27,552
28,552
29,551
30,552
31,552
32,552
33,552
34,551
35,551
36,552
37,551
38,552
39,551
40,551
41,551
42,552
43,552
44,551
45,551
46,551
47,551
48,552
49,552
50,552
51,552
52,552
53,551
54,551
55,551
56,552
57,551
58,552
59,552
60,552
61,551
62,552
63,550
64,552
65,552
66,551
67,552
68,552
69,552
70,551
71,551
72,552
73,552
74,552
75,552
76,551
77,552
78,552
79,552
80,550
81,551
82,551
83,552
84,551
85,551
86,551
87,551
88,552
89,551
90,552
91,551
92,552
93,552
94,552
95,551
96,551
97,552
98,551
99,551
100,552
101,552
102,552
103,552
104,552
105,551
106,551
107,552
108,552
109,551
110,552
111,551
112,552
113,551
114,551
115,551
116,552
117,552
118,552
119,551
120,551
121,551
122,552
123,552
124,552
125,552
126,551
127,552
128,552
129,552
130,552
131,552
132,550
133,552
134,551
135,552
136,551
137,551
138,552
139,552
140,551
141,551
142,552
143,551
144,552
145,552
146,552
147,552
148,552
149,551
150,552
151,551
152,551
153,552
154,552
155,551
156,552
157,551
158,552
159,552
160,551
161,551
162,551
163,551
164,552
165,552
166,551
167,551
168,551
169,551
170,551
171,552
172,552
173,552
174,551
175,551
176,552
177,552
178,552
179,551
180,551
181,552
182,551
183,551
184,552
185,551
186,552
187,552
188,552
189,551
190,552
191,551
192,552
193,552
194,551
195,551
196,552
197,551
198,551
199,552
200,551
201,551
202,552
203,552
204,552
205,551
206,552
207,552
208,552
209,552
210,551
211,551
212,552
213,551
214,551
215,552
216,551
217,550
218,551
219,552
220,552
221,551
222,551
223,552
224,552
225,551
226,550
227,552
228,552
229,552
230,552
231,552
232,551
233,552
234,552
235,552
236,552
237,552
238,551
239,551
240,552
241,551
242,551
243,551
244,552
245,551
246,552
247,552
248,551
249,552
250,552
251,551
252,551
253,551
254,551
255,551
256,552
257,552
258,551
259,552
260,552
261,552
262,552
263,552
264,551
265,550
266,551
267,551
268,552
269,552
270,552
271,551
272,551
273,552
274,551
275,552
276,552
277,552
278,552
279,552
280,551
281,551
282,551
283,552
284,552
285,552
286,551
287,552
288,551
289,552
290,552
291,551
292,551
293,552
294,552
295,552
296,551
297,551
298,551
299,551
300,551
