round,disconnect_count,reconnect_count
1,1,0
2,1,0
3,1,0
4,1,0
5,2,1
6,2,1
7,2,1
8,1,0
9,1,0
10,2,1
11,1,0
12,1,0
13,2,1
14,2,1
15,1,0
16,2,1
17,2,1
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,2,1
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,2,1
38,1,0
39,2,1
40,2,1
41,1,0
42,1,0
43,1,0
44,1,0
45,2,1
46,1,0
47,2,1
48,1,0
49,2,1
50,1,0
51,2,1
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,3,2
58,1,0
59,2,1
60,2,1
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,2,1
71,1,0
72,1,0
73,2,1
74,1,0
75,1,0
76,2,1
77,1,0
78,2,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,2,1
88,1,0
89,1,0
90,1,0
91,1,0
92,2,1
93,1,0
94,1,0
95,2,1
96,1,0
97,2,1
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,2,1
107,3,2
108,1,0
109,1,0
110,3,2
111,1,0
112,1,0
113,1,0
114,1,0
115,1,0
116,1,0
117,1,0
118,1,0
119,1,0
120,1,0
121,1,0
122,1,0
123,2,1
124,1,0
125,1,0
126,2,1
127,1,0
128,1,0
129,3,2
130,1,0
131,1,0
132,1,0
133,1,0
134,1,0
135,2,1
136,1,0
137,2,1
138,2,1
139,1,0
140,1,0
141,1,0
142,1,0
143,2,1
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,2,1
153,2,1
154,1,0
155,1,0
156,2,1
157,1,0
158,2,1
159,1,0
160,1,0
161,1,0
162,1,0
163,1,0
164,1,0
165,2,1
166,1,0
167,1,0
168,1,0
169,1,0
170,2,1
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,2,1
179,3,2
180,1,0
181,1,0
182,1,0
183,2,1
184,2,1
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,2,1
192,1,0
193,1,0
194,1,0
195,1,0
196,2,1
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
