round,disc_to_backup_ms
1,6.0
2,3.0
3,4.0
4,3.0
5,3.0
6,3.0
7,2.0
8,2.0
9,2.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,2.0
20,3.0
21,3.0
22,3.0
23,3.0
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,2.0
30,2.0
31,3.0
32,3.0
33,3.0
34,3.0
35,5.0
36,5.0
37,3.0
38,2.0
39,3.0
40,2.0
41,3.0
42,4.0
43,3.0
44,2.0
45,3.0
46,2.0
47,3.0
48,4.0
49,2.0
50,3.0
51,3.0
52,2.0
53,3.0
54,3.0
55,2.0
56,2.0
57,3.0
58,3.0
59,2.0
60,3.0
61,3.0
62,3.0
63,3.0
64,2.0
65,3.0
66,3.0
67,3.0
68,3.0
69,103.0
70,3.0
71,3.0
72,6.0
73,3.0
74,3.0
75,3.0
76,3.0
77,5.0
78,3.0
79,3.0
80,3.0
81,2.0
82,2.0
83,4.0
84,2.0
85,2.0
86,3.0
87,3.0
88,4.0
89,3.0
90,2.0
91,3.0
92,3.0
93,3.0
94,2.0
95,3.0
96,5.0
97,3.0
98,4.0
99,3.0
100,3.0
101,2.0
102,3.0
103,2.0
104,2.0
105,3.0
106,2.0
107,3.0
108,3.0
109,3.0
110,3.0
111,3.0
112,2.0
113,2.0
114,6.0
115,3.0
116,3.0
117,3.0
118,2.0
119,2.0
120,3.0
121,3.0
122,2.0
123,3.0
124,2.0
125,2.0
126,2.0
127,5.0
128,2.0
129,2.0
130,2.0
131,2.0
132,3.0
133,3.0
134,3.0
135,2.0
136,2.0
137,3.0
138,2.0
139,3.0
140,3.0
141,3.0
142,3.0
143,3.0
144,3.0
145,4.0
146,3.0
147,2.0
148,3.0
149,3.0
150,3.0
151,3.0
152,3.0
153,3.0
154,3.0
155,3.0
156,3.0
157,3.0
158,3.0
159,3.0
160,3.0
161,3.0
162,3.0
163,2.0
164,2.0
165,2.0
166,4.0
167,2.0
168,3.0
169,3.0
170,3.0
171,2.0
172,2.0
173,4.0
174,3.0
175,2.0
176,3.0
177,3.0
178,2.0
179,2.0
180,3.0
181,3.0
182,3.0
183,2.0
184,3.0
185,3.0
186,3.0
187,2.0
188,3.0
189,3.0
190,2.0
191,3.0
192,2.0
193,2.0
194,2.0
195,3.0
196,3.0
197,3.0
198,3.0
199,3.0
200,3.0
201,3.0
202,3.0
203,5.0
204,3.0
205,2.0
206,3.0
207,2.0
208,3.0
209,2.0
210,2.0
211,3.0
212,3.0
213,3.0
214,3.0
215,2.0
216,3.0
217,3.0
218,2.0
219,3.0
220,3.0
221,2.0
222,3.0
223,2.0
224,2.0
225,3.0
226,6.0
227,3.0
228,2.0
229,2.0
230,3.0
231,3.0
232,3.0
233,2.0
234,3.0
235,3.0
236,2.0
237,2.0
238,3.0
239,3.0
240,3.0
241,2.0
242,3.0
243,4.0
244,101.0
245,2.0
246,3.0
247,3.0
248,2.0
249,3.0
250,2.0
251,4.0
252,4.0
253,3.0
254,2.0
255,3.0
256,3.0
257,2.0
258,2.0
259,3.0
260,3.0
261,4.0
262,2.0
263,3.0
264,3.0
265,2.0
