round,init_time_ms
1,40.0
2,24.0
3,22.0
4,40.0
5,21.0
6,22.0
7,20.0
8,77.0
9,33.0
10,23.0
11,28.0
12,21.0
13,23.0
14,20.0
15,21.0
16,22.0
17,21.0
18,22.0
19,21.0
20,29.0
21,21.0
22,28.0
23,22.0
24,23.0
25,21.0
26,21.0
27,21.0
28,21.0
29,21.0
30,20.0
31,26.0
32,21.0
33,22.0
34,20.0
35,19.0
36,19.0
37,36.0
38,20.0
39,19.0
40,20.0
41,20.0
42,20.0
43,20.0
44,21.0
45,19.0
46,19.0
47,21.0
48,19.0
49,20.0
50,20.0
51,21.0
52,23.0
53,22.0
54,21.0
55,22.0
56,23.0
57,21.0
58,21.0
59,20.0
60,20.0
61,20.0
62,20.0
63,20.0
64,20.0
65,21.0
66,85.0
67,21.0
68,20.0
69,20.0
70,21.0
71,20.0
72,19.0
73,20.0
74,20.0
75,20.0
76,23.0
77,20.0
78,21.0
79,20.0
80,22.0
81,19.0
82,21.0
83,21.0
84,21.0
85,19.0
86,19.0
87,19.0
88,19.0
89,20.0
90,20.0
91,20.0
92,20.0
93,21.0
94,20.0
95,80.0
96,21.0
97,20.0
98,20.0
99,21.0
100,21.0
101,23.0
102,23.0
103,20.0
104,20.0
105,20.0
106,21.0
107,21.0
108,21.0
109,20.0
110,20.0
111,20.0
112,20.0
113,20.0
114,20.0
115,20.0
116,20.0
117,22.0
118,20.0
119,19.0
120,21.0
121,20.0
122,19.0
123,21.0
124,37.0
125,21.0
126,20.0
127,20.0
128,19.0
129,19.0
130,20.0
131,21.0
132,20.0
133,21.0
134,21.0
135,20.0
136,20.0
137,19.0
138,19.0
139,20.0
140,20.0
141,20.0
142,22.0
143,23.0
144,22.0
145,22.0
146,20.0
147,21.0
148,21.0
149,21.0
150,20.0
151,20.0
152,20.0
153,38.0
154,21.0
155,20.0
156,20.0
157,21.0
158,21.0
159,22.0
160,20.0
161,19.0
162,20.0
163,20.0
164,20.0
165,19.0
166,21.0
167,21.0
168,20.0
169,20.0
170,19.0
171,20.0
172,20.0
173,22.0
174,20.0
175,19.0
176,22.0
177,19.0
178,19.0
179,19.0
180,21.0
181,19.0
182,36.0
183,22.0
184,20.0
185,22.0
186,22.0
187,23.0
188,20.0
189,20.0
190,20.0
191,20.0
192,20.0
193,21.0
194,20.0
195,20.0
196,20.0
197,20.0
198,20.0
199,20.0
200,21.0
201,20.0
202,20.0
203,22.0
204,20.0
205,20.0
206,20.0
207,19.0
208,19.0
209,20.0
210,31.0
211,20.0
212,19.0
213,20.0
214,21.0
215,19.0
216,19.0
217,19.0
218,20.0
219,20.0
220,20.0
221,20.0
222,20.0
223,19.0
224,19.0
225,19.0
226,19.0
227,20.0
228,20.0
229,21.0
230,23.0
231,22.0
232,22.0
233,21.0
234,20.0
235,22.0
236,20.0
237,20.0
238,20.0
239,20.0
240,20.0
241,21.0
242,38.0
243,22.0
244,20.0
245,19.0
246,21.0
247,21.0
248,20.0
249,20.0
250,20.0
251,20.0
252,19.0
253,20.0
254,21.0
255,22.0
256,19.0
257,19.0
258,20.0
259,19.0
260,19.0
261,20.0
262,19.0
263,20.0
264,19.0
265,20.0
266,21.0
267,20.0
268,20.0
269,22.0
270,24.0
271,35.0
272,19.0
273,19.0
274,20.0
275,20.0
276,20.0
277,20.0
278,20.0
279,23.0
280,22.0
281,23.0
282,21.0
283,21.0
284,20.0
285,20.0
286,20.0
287,22.0
288,20.0
289,19.0
290,21.0
291,19.0
292,20.0
293,20.0
294,20.0
295,20.0
296,20.0
297,20.0
298,21.0
299,19.0
300,20.0
301,20.0
302,19.0
303,22.0
304,37.0
305,22.0
306,20.0
307,21.0
308,19.0
309,19.0
310,19.0
311,20.0
312,22.0
313,20.0
314,22.0
315,19.0
316,20.0
317,19.0
318,19.0
319,19.0
320,21.0
321,20.0
322,20.0
323,21.0
324,23.0
325,22.0
326,22.0
327,21.0
328,21.0
329,20.0
330,21.0
331,20.0
332,20.0
333,39.0
334,23.0
335,21.0
336,21.0
337,20.0
338,21.0
339,21.0
340,20.0
341,21.0
342,20.0
343,20.0
344,20.0
345,20.0
346,20.0
347,20.0
348,21.0
349,20.0
350,21.0
351,20.0
352,20.0
353,21.0
354,21.0
355,19.0
356,19.0
357,20.0
358,20.0
359,19.0
360,20.0
361,18.0
362,36.0
363,20.0
364,20.0
365,20.0
366,21.0
367,18.0
368,20.0
369,18.0
370,19.0
371,19.0
372,20.0
373,21.0
374,20.0
375,22.0
376,22.0
377,23.0
378,22.0
379,21.0
380,22.0
381,21.0
382,22.0
383,21.0
