round,reconnect_count
1,18
2,31
3,33
4,31
5,34
6,31
7,22
8,22
9,22
10,22
11,23
12,22
13,20
14,22
15,24
16,26
17,22
18,21
19,22
20,23
21,25
22,22
23,21
24,21
25,21
26,22
27,20
28,20
29,22
30,25
31,22
32,21
33,23
34,22
35,22
36,20
37,20
38,23
39,22
40,25
41,23
42,22
43,22
44,22
45,22
46,22
47,20
48,22
49,24
50,21
51,21
52,22
53,22
54,23
55,24
56,20
57,20
58,21
59,24
60,21
61,22
62,28
63,22
64,22
65,22
66,21
67,23
68,21
69,21
70,25
71,22
72,22
73,23
74,22
75,22
76,22
77,18
78,21
79,25
80,26
81,22
82,23
83,23
84,22
85,23
86,19
87,21
88,22
89,24
90,25
91,22
92,22
93,27
94,22
95,22
96,20
97,19
98,21
99,22
100,25
101,26
102,23
103,22
104,23
105,23
106,22
107,22
108,21
109,22
110,22
111,25
112,21
113,19
114,19
115,22
116,25
117,22
118,22
119,22
120,23
121,23
122,21
123,20
124,19
125,23
126,26
127,23
128,23
129,22
130,22
131,22
132,21
133,20
134,21
135,20
136,25
137,22
138,23
139,22
140,23
141,21
142,22
143,21
144,20
145,19
146,22
147,22
148,25
149,22
150,23
151,22
152,22
153,21
154,19
155,20
156,22
157,24
158,22
159,22
160,24
161,23
162,22
163,22
164,20
165,21
166,23
167,24
168,25
169,22
170,23
171,22
172,21
173,22
174,22
175,21
176,20
177,24
178,24
179,25
180,25
181,22
182,21
183,22
184,22
185,20
186,21
187,21
188,24
189,26
190,22
191,23
192,23
193,21
194,23
195,22
196,19
197,21
198,21
199,24
200,23
201,22
202,24
203,22
204,22
205,23
206,19
207,20
208,20
209,23
210,22
211,23
212,23
213,23
214,22
215,22
216,22
217,20
218,19
219,21
220,25
221,25
222,23
223,22
224,22
225,23
226,22
227,20
228,20
229,19
230,19
231,21
232,22
233,21
234,21
235,21
236,24
237,25
238,24
239,23
240,22
241,22
242,22
243,21
244,21
245,20
246,23
247,26
248,22
249,23
250,22
251,22
252,23
253,21
254,20
255,20
256,20
257,24
258,25
259,22
260,22
261,22
262,23
263,21
264,20
265,19
266,20
267,23
268,27
269,22
270,23
271,22
272,22
273,23
274,21
