round,backup_time_ms
1,224.0
2,194.0
3,196.0
4,172.0
5,143.0
6,144.0
7,157.0
8,129.0
9,135.0
10,173.0
11,139.0
12,108.0
13,194.0
14,175.0
15,159.0
16,154.0
17,154.0
18,185.0
19,146.0
20,115.0
21,99.0
22,147.0
23,149.0
24,126.0
25,108.0
26,88.0
27,162.0
28,163.0
29,118.0
30,100.0
31,176.0
32,137.0
33,109.0
34,181.0
35,157.0
36,163.0
37,136.0
38,88.0
39,115.0
40,79.0
41,152.0
42,126.0
43,124.0
44,183.0
45,159.0
46,143.0
47,85.0
48,225.0
49,249.0
50,151.0
51,106.0
52,115.0
53,183.0
54,146.0
55,111.0
56,115.0
57,190.0
58,152.0
59,107.0
60,86.0
61,148.0
62,173.0
63,106.0
64,102.0
65,161.0
66,136.0
67,196.0
68,139.0
69,117.0
70,173.0
71,146.0
72,110.0
73,175.0
74,140.0
75,115.0
76,151.0
77,135.0
78,113.0
79,92.0
80,156.0
81,138.0
82,94.0
83,71.0
84,138.0
85,95.0
86,89.0
87,183.0
88,169.0
89,149.0
90,133.0
91,93.0
92,167.0
93,145.0
94,102.0
95,143.0
96,95.0
97,116.0
98,184.0
99,140.0
100,112.0
101,118.0
102,178.0
103,148.0
104,114.0
105,103.0
106,178.0
107,264.0
108,159.0
109,116.0
110,107.0
111,173.0
112,120.0
113,174.0
114,142.0
115,94.0
116,176.0
117,137.0
118,163.0
119,122.0
120,157.0
121,137.0
122,146.0
123,115.0
124,172.0
125,142.0
126,135.0
127,105.0
128,134.0
129,110.0
130,166.0
131,167.0
132,90.0
133,139.0
134,113.0
135,146.0
136,139.0
137,113.0
138,97.0
139,103.0
140,167.0
141,164.0
142,151.0
143,129.0
144,148.0
145,107.0
146,173.0
147,131.0
148,166.0
149,122.0
150,89.0
151,137.0
152,116.0
153,141.0
154,169.0
155,157.0
156,135.0
157,154.0
158,117.0
159,169.0
160,143.0
161,173.0
162,326.0
163,150.0
164,138.0
165,247.0
166,124.0
167,108.0
168,184.0
169,101.0
170,101.0
171,173.0
172,114.0
173,165.0
174,112.0
175,108.0
176,94.0
177,151.0
178,115.0
179,118.0
180,80.0
181,158.0
182,147.0
183,99.0
184,182.0
185,171.0
186,156.0
187,109.0
188,77.0
189,150.0
190,114.0
191,75.0
192,166.0
193,121.0
194,136.0
195,138.0
196,121.0
197,133.0
198,105.0
199,111.0
200,97.0
201,80.0
202,150.0
203,115.0
204,91.0
205,111.0
206,156.0
207,143.0
208,75.0
209,150.0
210,123.0
211,94.0
212,177.0
213,146.0
214,126.0
215,160.0
216,191.0
217,168.0
218,118.0
219,76.0
220,185.0
221,186.0
222,185.0
223,138.0
224,125.0
225,139.0
226,153.0
227,101.0
228,161.0
229,182.0
230,99.0
231,115.0
232,189.0
233,169.0
234,164.0
235,147.0
236,148.0
237,95.0
238,172.0
239,122.0
240,107.0
241,181.0
242,108.0
243,112.0
244,194.0
245,139.0
246,148.0
247,95.0
248,172.0
249,172.0
250,168.0
251,135.0
252,89.0
253,159.0
254,165.0
255,148.0
256,157.0
257,153.0
258,166.0
259,168.0
260,153.0
261,98.0
262,143.0
263,118.0
264,99.0
265,184.0
266,158.0
267,144.0
268,96.0
269,78.0
270,147.0
271,108.0
272,151.0
273,135.0
274,178.0
275,156.0
276,144.0
277,174.0
278,151.0
279,122.0
280,176.0
281,166.0
282,150.0
283,103.0
284,79.0
285,164.0
286,152.0
287,142.0
288,109.0
289,116.0
290,171.0
291,98.0
292,170.0
293,174.0
294,135.0
295,107.0
296,121.0
297,101.0
298,148.0
299,106.0
300,164.0
301,114.0
302,97.0
303,144.0
304,100.0
305,137.0
306,108.0
307,179.0
308,136.0
309,137.0
310,112.0
311,154.0
312,103.0
313,137.0
314,163.0
315,145.0
316,115.0
317,82.0
318,143.0
319,171.0
320,151.0
321,90.0
322,116.0
323,146.0
324,109.0
325,142.0
326,129.0
327,91.0
328,80.0
329,138.0
330,197.0
331,179.0
332,92.0
333,171.0
334,177.0
335,96.0
336,87.0
337,129.0
338,78.0
339,150.0
340,101.0
341,174.0
342,132.0
343,83.0
344,87.0
345,155.0
346,150.0
347,102.0
348,162.0
349,139.0
350,173.0
351,114.0
352,200.0
353,172.0
354,101.0
355,148.0
356,103.0
357,145.0
358,98.0
359,113.0
360,94.0
361,164.0
362,144.0
363,181.0
364,123.0
365,76.0
366,156.0
367,156.0
368,140.0
369,130.0
370,108.0
371,85.0
372,152.0
373,145.0
374,103.0
375,176.0
376,165.0
377,143.0
378,176.0
379,145.0
380,144.0
381,167.0
382,166.0
383,101.0
384,86.0
385,160.0
386,128.0
387,121.0
388,166.0
389,132.0
390,184.0
391,145.0
392,99.0
393,187.0
394,81.0
395,179.0
396,93.0
397,108.0
398,100.0
399,107.0
400,76.0
401,165.0
402,126.0
403,111.0
404,172.0
405,114.0
406,110.0
407,182.0
408,152.0
409,111.0
410,107.0
411,146.0
412,107.0
413,168.0
414,146.0
415,126.0
416,115.0
417,167.0
418,153.0
419,141.0
420,167.0
421,114.0
422,179.0
423,115.0
424,110.0
425,270.0
426,203.0
427,144.0
428,100.0
429,171.0
430,108.0
431,149.0
432,124.0
433,102.0
434,123.0
435,144.0
436,101.0
437,143.0
438,118.0
439,85.0
440,177.0
441,135.0
442,169.0
443,131.0
444,135.0
445,175.0
446,95.0
447,141.0
448,116.0
449,173.0
450,123.0
451,117.0
452,165.0
453,158.0
454,166.0
455,188.0
456,176.0
457,138.0
458,78.0
459,110.0
